# t  cA_high  cB_high  cC_high  err_norm
18.9 7.81192e-09 8.67991e-10 1 2.95368e-09
18.95 7.4355e-09 8.26166e-10 1 2.81966e-09
19 7.07721e-09 7.86357e-10 1 2.69171e-09
19.05 6.73619e-09 7.48466e-10 1 2.56954e-09
19.1 6.41161e-09 7.12401e-10 1 2.4529e-09
19.15 6.10266e-09 6.78073e-10 1 2.34154e-09
19.2 5.8086e-09 6.454e-10 1 2.23522e-09
19.25 5.52871e-09 6.14301e-10 1 2.13372e-09
19.3 5.2623e-09 5.847e-10 1 2.03681e-09
19.35 5.00874e-09 5.56526e-10 1 1.94429e-09
19.4 4.76739e-09 5.2971e-10 1 1.85595e-09
19.45 4.53767e-09 5.04185e-10 1 1.77162e-09
19.5 4.31902e-09 4.79891e-10 1 1.69111e-09
19.55 4.1109e-09 4.56767e-10 1 1.61425e-09
19.6 3.91282e-09 4.34757e-10 1 1.54088e-09
19.65 3.72428e-09 4.13808e-10 1 1.47082e-09
19.7 3.54482e-09 3.93869e-10 1 1.40395e-09
19.75 3.37401e-09 3.7489e-10 1 1.3401e-09
19.8 3.21143e-09 3.56826e-10 1 1.27915e-09
19.85 3.05669e-09 3.39632e-10 1 1.22097e-09
19.9 2.9094e-09 3.23266e-10 1 1.16542e-09
19.95 2.76921e-09 3.0769e-10 1 1.1124e-09
20 2.63577e-09 2.92863e-10 1 1.06178e-09
